Player Name,Squad Name,Club Name,Session Date,Session Name,Drill Title,Session Type,Accelerations,Decelerations,High Speed Running,Max Speed,No of Sprints,Sprint Distance,Total Distance
Adrian Gallegos,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Total,54,55,448,18.39,17,334,4.66
Adrian Gallegos,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,First Half,9,8,62,16.04,3,39,1.38
Adrian Gallegos,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Second Half,45,47,386,18.39,14,296,3.29
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Total,4,3,0,10.12,0,0,1.14
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,First Half,3,2,0,10.12,0,0,0.47
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Second Half,1,1,0,9.72,0,0,0.67
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Total,70,77,620,17.55,28,473,5.49
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,First Half,45,59,382,17.55,19,284,3.75
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Second Half,25,18,238,16.5,9,189,1.74
Michael Howard,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Total,38,41,178,18.22,8,103,3.79
Michael Howard,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,First Half,38,41,178,18.22,8,103,3.56
Michael Howard,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Second Half,0,0,0,7.58,0,0,0.23
Cole Pumpian,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Total,20,18,139,15.74,6,90,2.22
Cole Pumpian,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,First Half,6,1,0,9.9,0,0,0.58
Cole Pumpian,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Second Half,14,17,139,15.74,6,90,1.65
Dylan Bapst,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Total,54,52,356,19.67,13,240,5.37
Dylan Bapst,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,First Half,32,37,222,19.67,8,131,3.26
Dylan Bapst,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Second Half,22,15,134,18.37,5,108,2.11
Nolan Williams,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Total,36,50,87,16.12,1,21,5.44
Nolan Williams,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,First Half,23,37,46,14.72,0,0,3.75
Nolan Williams,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Second Half,13,13,41,16.12,1,21,1.69
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Total,2,0,0,9.33,0,0,0.58
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,First Half,2,0,0,9.33,0,0,0.44
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Second Half,0,0,0,8.76,0,0,0.14
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Total,39,33,175,18.29,5,120,2.93
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,First Half,4,2,0,9.4,0,0,0.59
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Second Half,35,31,175,18.29,5,120,2.34
Mohamed Abdi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Total,30,27,612,20.33,10,500,4.09
Mohamed Abdi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,First Half,28,26,301,18.44,9,204,3.43
Mohamed Abdi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/17/2025,v Birmingham,Gameday,Second Half,2,1,311,20.33,1,296,0.66
