Player Name,Squad Name,Club Name,Session Date,Session Name,Drill Title,Session Type,Accelerations,Decelerations,High Speed Running,Max Speed,No of Sprints,Sprint Distance,Total Distance
Julien Seher,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Total,16,10,10,14.44,1,9,1.17
Julien Seher,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,First Half,5,3,0,10.56,0,0,0.39
Julien Seher,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Second Half,11,7,10,14.44,1,9,0.78
Adrian Gallegos,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Total,61,71,591,17.38,25,413,5
Adrian Gallegos,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,First Half,37,46,430,17.38,16,302,3.31
Adrian Gallegos,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Second Half,24,25,161,16.54,9,111,1.69
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Total,40,56,511,17.86,16,345,5.58
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,First Half,24,33,270,17.86,10,188,3.09
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Second Half,16,23,241,16.68,6,157,2.49
Nolan Williams,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Total,21,18,119,17,4,98,2.54
Nolan Williams,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,First Half,3,1,0,9.59,0,0,0.4
Nolan Williams,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Second Half,18,17,119,17,4,98,2.14
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Total,5,1,0,9.58,0,0,0.62
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,First Half,4,0,0,9.54,0,0,0.33
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Second Half,1,1,0,9.58,0,0,0.29
Nash Skoglund,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Total,27,18,9,13.68,0,0,3.08
Nash Skoglund,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,First Half,19,12,9,13.68,0,0,1.64
Nash Skoglund,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Second Half,8,6,0,12.27,0,0,1.44
Parker Hollosi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Total,67,56,488,20.3,14,375,4.64
Parker Hollosi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,First Half,47,42,320,17.8,10,241,3.36
Parker Hollosi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Second Half,20,14,167,20.3,4,134,1.28
Erek Graham,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Total,9,9,26,17.47,2,21,1.05
Erek Graham,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,First Half,3,1,0,11.49,0,0,0.31
Erek Graham,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Second Half,6,8,26,17.47,2,21,0.75
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Total,47,46,485,17.16,19,340,2.65
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,First Half,3,5,1,12.59,0,0,0.35
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Second Half,44,41,484,17.16,19,340,2.31
Othmane Chagour,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Total,40,21,242,18.97,7,179,3.25
Othmane Chagour,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,First Half,4,0,0,10.31,0,0,0.44
Othmane Chagour,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Second Half,36,21,242,18.97,7,179,2.81
Mohamed Abdi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Total,52,47,657,18.79,20,484,5.72
Mohamed Abdi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,First Half,29,28,412,18.32,12,288,3.26
Mohamed Abdi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Second Half,23,19,245,18.79,8,195,2.46
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Total,77,68,598,19.64,22,465,4.52
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,First Half,53,51,351,19.64,14,244,3.19
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/25/2025,v EAFC,Gameday,Second Half,24,17,247,18.09,8,221,1.33
