Player Name,Squad Name,Club Name,Session Date,Session Name,Drill Title,Session Type,Accelerations,Decelerations,HSR,Max Speed,No of Sprints,Sprint Distance,Total Distance
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,Total,45,64,447,18.62,14,318,5
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,First Half,23,22,6,13.35,0,0,1.49
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,Second Half,22,42,440,18.62,14,318,3.51
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,Total,39,32,1,12.37,0,0,2.97
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,First Half,23,24,1,12.37,0,0,0.97
Kyle Jansen,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,Second Half,16,8,0,12.21,0,0,2
Erek Graham,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,Total,59,57,534,19.77,21,402,4.97
Erek Graham,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,First Half,17,16,3,13.43,0,0,1.33
Erek Graham,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,Second Half,42,41,531,19.77,21,402,3.63
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,Total,60,73,589,19.19,20,476,5.07
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,First Half,19,21,21,15.6,1,12,1.46
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,Second Half,41,52,567,19.19,19,464,3.61
Mohamed Abdi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,Total,65,48,537,17.31,16,367,5.08
Mohamed Abdi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,First Half,26,14,8,13.86,0,0,1.49
Mohamed Abdi,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,05/31/2025,v Dothan United FC,Gameday,Second Half,39,34,529,17.31,16,367,3.59
