Player Name,Squad Name,Club Name,Session Date,Session Name,Drill Title,Session Type,Accelerations,Decelerations,High Speed Running,Max Speed,No of Sprints,Sprint Distance,Total Distance
Nolan Williams,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,Total,19,25,234,16.05,6,176,2.53
Nolan Williams,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,First Half,0,0,0,7.85,0,0,0.25
Nolan Williams,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,Second Half,19,25,234,16.05,6,176,2.27
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,Total,62,60,523,18.61,24,419,5.12
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,First Half,39,37,269,18.5,12,231,2.85
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,Second Half,23,23,254,18.61,12,188,2.27
Nash Skoglund,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,Total,38,39,20,15.28,0,0,2.82
Nash Skoglund,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,First Half,21,19,3,15.28,0,0,1.37
Nash Skoglund,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,Second Half,17,20,17,13.51,0,0,1.45
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,Total,76,81,759,20.35,24,605,5.63
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,First Half,33,43,375,20.35,11,269,3.22
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,Second Half,43,38,385,17.55,13,336,2.41
Julien Seher,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,Total,7,9,91,16.84,4,79,1.43
Julien Seher,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,First Half,0,0,0,7.66,0,0,0.22
Julien Seher,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,Second Half,7,9,91,16.84,4,79,1.21
Cherif Tammar,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,Total,73,111,647,18.34,24,468,6.19
Cherif Tammar,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,First Half,28,50,331,18.34,12,247,3.03
Cherif Tammar,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/04/2025,v UNC Asheville,Gameday,Second Half,45,61,316,15.66,12,221,3.16
