Player Name,Squad Name,Club Name,Session Date,Session Name,Drill Title,Session Type,Accelerations,Decelerations,High Speed Running,Max Speed,No of Sprints,Sprint Distance,Total Distance
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,Total,39,43,385,17.91,17,291,4.17
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,First Half,16,9,108,16.13,5,87,1.65
Daniel Amah,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,Second Half,23,34,277,17.91,12,204,2.52
Julien Seher,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,Total,20,10,50,14.34,1,37,1.53
Julien Seher,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,First Half,11,10,46,14.34,1,37,0.68
Julien Seher,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,Second Half,9,0,4,12.74,0,0,0.85
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,Total,7,4,15,14.12,1,15,1.14
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,First Half,2,2,0,10.95,0,0,0.47
Diego Lopes Preite,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,Second Half,5,2,15,14.12,1,15,0.67
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,Total,14,12,8,13.6,0,0,1.51
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,First Half,1,1,0,9.03,0,0,0.54
David Mejia,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,Second Half,13,11,8,13.6,0,0,0.98
Cherif Tammar,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,Total,47,57,248,17.23,8,138,4.26
Cherif Tammar,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,First Half,17,16,98,17.23,2,43,1.5
Cherif Tammar,SSA Swarm USL 2 Mens 2025,SSA Swarm USL 2 Mens,06/07/2025,v Dotham,Gameday,Second Half,30,41,150,16.25,6,95,2.77
